source_id,num_targets,target_ids,total_amount,tx_count
0_8004BFA80,18,"['11032_8008DD500', '0_8001E7420', '140342_84A72CD90', '24457_805963B90', '237553_8194BCCE0', '1442_800882F60', '12_8000872D0', '544_8003FB8E0', '11032_8022E38C0', '544_80034C280', '1226_800218A50', '1_8001FA9C0', '14_800178710', '25_8002F6B60', '1208_80048A540', '2464_800304AE0', '1553_800438440', '0_8004BFA80']",13974095.912200008,75
0_800F9BB60,15,"['113957_806124A20', '158780_81A536A20', '16619_808325140', '1208_801745000', '11796_802935670', '244653_82750A620', '153341_8236260D0', '9043_8177492A0', '26989_8178DF240', '137747_838FA1550', '2156413_85113FBA0', '16811_80629FC90', '1313_801363220', '4744_804300770', '0_800F9BB60']",1566673.9500000002,189
0_80006FE20,13,"['20_80017D2E0', '210600_80BE78880', '1046_80140EA90', '120090_8083AD440', '20_80011C4B0', '2310_8001DC5B0', '54227_8207BE3D0', '13843_8105C8000', '0_8001052F0', '24842_801CDB530', '2310_8003E5D00', '2151748_8432900A0', '0_80006FE20']",5069153.18,200
0_800244C10,13,"['0_8009CD310', '33743_812606120', '20_80046BCA0', '145174_820F1C9C0', '182886_83D06B070', '28291_803CF0AA0', '253180_817A076A0', '1046_800F83ED0', '252970_815C2DD00', '20_800ADADF0', '20_8008C9AF0', '12582_800F9B320', '0_800244C10']",2242054.6599999988,215
0_80033F650,13,"['134999_82298C6E0', '2597_801560CA0', '11_8004A8BF0', '25604_8028A0190', '0_800396210', '214285_828CB49F0', '11796_80A1FBF90', '20_8035BF850', '1818_800E3B2A0', '5475_80BDC29D0', '11798_800B015B0', '216970_8094AD8E0', '0_80033F650']",1367270.5168000017,236
0_8004A7AF0,13,"['4292_801BE98B0', '13843_80171DEC0', '20_800521E10', '11081_8024FF680', '867_800621B80', '1313_80214BE60', '867_8005247C0', '1601_80059F810', '224393_821035620', '111077_812417BB0', '1110462_82B5B6B50', '2597_801EEDB70', '0_8004A7AF0']",570182.9499999995,265
0_8005182B0,13,"['1488_800AB31D0', '35456_83CCC9FB0', '20_826686A20', '20_80099B460', '7061_803F25040', '2597_801054780', '1831_80062FCA0', '15284_80C16DD50', '1601_8007D7C70', '2310_8021C6950', '262974_82B035A60', '11032_8017A3860', '0_8005182B0']",1448379.18,216
0_80055B6B0,13,"['718_8005A6F40', '13600_8015FA8F0', '13688_801587C40', '8903_803CA2770', '2954_801469710', '24842_8022B8D80', '236302_80F6A26F0', '119640_8393767E0', '18112_8497C9520', '110859_80CC57B20', '10057_80AAA1FF0', '24555_80E368E00', '24528_801B93000']",4275668.199999999,173
0_800B29860,12,"['2597_80155DD40', '194492_822F57DC0', '19326_81DBE4630', '297619_834485920', '24689_802F5EC70', '179667_826550F60', '8381_805C57720', '0_8025A0B40', '14246_813FDA800', '16315_8055F7130', '28348_803D1E520', '0_800B29860']",1523873.49,166
0_800B91E30,12,"['1818_800ED23D0', '1171400_840BA7560', '6697_8069374F0', '15327_803B96750', '111247_81233D570', '28348_803193AE0', '218363_80E561B20', '93219_829E0B400', '218608_842CEDA40', '217678_80731DCF0', '298178_8361BDF90', '0_800B91E30']",7121219.100000001,263
0_80165E490,12,"['13843_806D14D00', '718_8028BDB70', '28781_82EFED530', '4563_802792860', '16030_802426FF0', '0_803F9BE20', '23128_8048FF130', '97149_83F28BF60', '2149699_848027E30', '544_82F658360', '867_801728A00', '0_80165E490']",2040881.110000001,184
0_80033CE60,11,"['2310_80035D220', '135325_8274E4FB0', '0_800A49E90', '25932_8026F60F0', '1601_801595F20', '110528_80592DA80', '44393_827D3FC70', '2310_80038CAF0', '11304_8008C98A0', '113003_80D17C4D0', '0_80033CE60']",14886614.540000003,187
0_8003C7330,11,"['20_80AEDB3C0', '9888_80D406600', '210029_84984D820', '4214_801C64060', '26134_803499160', '1831_80397A130', '1922_8031E4550', '0_8004B7E50', '11798_801D5AA00', '9340_80FCD4690', '0_8003C7330']",27333609.869999994,215
0_803890E70,11,"['10975_8152899F0', '11304_814E9F410', '0_80916DF70', '1139288_83B0B0380', '8917_807E381D0', '249537_82EAF5C90', '20937_816962A10', '23602_804BE1350', '16315_806BA8470', '1601_818CC4D10', '0_803890E70']",2506880.3599999994,241
0_800073420,10,"['239258_83878EF20', '1922_801782450', '20_8002BDF80', '1488_800FE4780', '63074_8288C9730', '18824_805612360', '1226_800177940', '28313_836FC2D10', '123621_824C9D780', '0_800073420']",17851359.196400005,211
0_8004AC580,10,"['11032_801334890', '194492_834CD3930', '2597_800DB88C0', '215233_80ADFDE60', '238125_8211AEC40', '22184_800D0C6F0', '1601_800EB0990', '25994_802E478B0', '3902_8019992E0', '0_8004AC580']",803590.1584000012,170
0_8004B1120,10,"['20_800CC3860', '1208_8004DBA70', '285008_839BC5ED0', '867_800BB0E50', '952_800E2F740', '1831_8005EA7D0', '155327_81501D250', '11032_8007C68B0', '12582_81B7C8E20', '0_8004B1120']",3970845.3799999906,230
0_8006BEBF0,10,"['1130505_8305C44D0', '11796_800CFF810', '214686_8056362C0', '13600_801572470', '1601_800DACC40', '2597_8035ED6C0', '0_80239E840', '225000_80AD761D0', '70421_81DFECA00', '0_8006BEBF0']",1094718.0100000002,163
0_800A39060,10,"['240141_817C446B0', '212191_83F9291D0', '161863_8252DA230', '2310_800A39B80', '544_800A48E50', '11304_801491190', '28313_806857C00', '2126978_82F1E15D0', '11304_800A39B30', '0_800A39060']",34974704.3732,115
0_800AFEDC0,10,"['214_800B87510', '17569_804292320', '211755_8192E1C80', '33356_8131E5180', '114976_82333F3B0', '78479_83D0DA270', '17364_804925730', '15327_802C0D020', '115036_806E9EC40', '0_800AFEDC0']",5584776.539999996,114
0_800C92350,10,"['1924_80755DF60', '7141_80AD228B0', '1922_8018A03E0', '266460_8490ECB30', '132031_80C31F380', '0_8012801E0', '24830_80965B250', '20_800E9F880', '18824_803710C90', '0_800C92350']",34117542.57,140
0_800D7AAB0,10,"['36496_82DB9E220', '23602_801C12D60', '120571_80C66DCD0', '15379_8195235C0', '267957_83E4B28F0', '3761_8038D0EE0', '741_802768B50', '13729_8017FE590', '23128_801ABC650', '0_800D7AAB0']",3252044.339999997,179
0_80144CAA0,10,"['37048_80FE31F10', '262097_828BEDD90', '18822_8047FE550', '1315_8014A5F00', '4214_804E550A0', '132031_80CFD6920', '260153_8249FB400', '112136_804AA1AE0', '173751_81C920C60', '0_80144CAA0']",2540939.3200000008,199
0_801C61180,10,"['7098_807988200', '4292_802546180', '1818_802760030', '15398_805C11B20', '19596_803F846B0', '225015_80924CA70', '10094_80C945350', '249457_81F3483D0', '25994_80CD2D5C0', '0_801C61180']",51674171.849999994,169
0_8001CF4F0,9,"['544_800CCAB10', '1046_804147400', '0_8069AA540', '13729_8034F07A0', '0_8001CEBD0', '2408_8002741B0', '20_8002B7010', '2464_800400B10', '0_8001CF4F0']",159816.16319999986,169
0_8003CFE10,9,"['218478_8131120C0', '2597_8005C4E90', '0_80139FAE0', '2310_80055CF70', '1922_8007A8810', '22693_833B3EF70', '24816_81898C990', '14993_80663C530', '0_8003CFE10']",30797751.03000001,205
0_8005C16E0,9,"['18934_80520A980', '1488_800FC1400', '211943_812B45CA0', '230636_813CFC0F0', '16809_8040D9740', '27934_8039166B0', '718_8005ED950', '0_800783430', '0_8005C16E0']",11180234.179999994,191
0_800AFC840,9,"['1155775_84C995F10', '4687_84C141980', '11032_800C3C820', '1922_802C30A40', '7317_803FE1FE0', '169876_831C67470', '8483_8047B26B0', '23435_8021415C0', '0_800AFC840']",473635.91000000027,187
0_800C5E880,9,"['18170_802FE7DC0', '163183_823F57570', '7141_80346A2F0', '18024_801AC1BA0', '2776_800D3CDA0', '2776_800E979D0', '18824_807467480', '16645_806911020', '0_800C5E880']",1862497964.68,69
0_8017A26D0,9,"['13600_8031A0DC0', '11848_802D39270', '57107_827CD9090', '7818_811F7DB70', '14031_8161C0400', '251127_831D32FF0', '11796_802DDFA00', '257757_840A8C090', '21136_80A1F0100']",3205924.8700000006,215
0_801994F70,9,"['23683_809A56650', '110059_80A2F52E0', '250555_813FFE170', '242623_810CC5370', '1601_801ECEEA0', '25333_814E5CB80', '4214_802E7D840', '225016_809F170F0', '0_801994F70']",19337098.809999987,202
0_801D95C30,9,"['239863_8400C8C10', '13676_80A7EE050', '213834_8075AA220', '28291_8060244D0', '25580_8028BBA50', '21514_8011D3540', '952_80235A520', '111247_80528EE30', '0_801D95C30']",827105.3311999995,136
0_8027DA4C0,9,"['120090_808DFCB60', '225015_84A517010', '111554_81C0B4A30', '12582_8036D86F0', '297695_8269D30E0', '5965_803096E10', '133473_80F1AC560', '221053_8085EF9E0', '0_8027DA4C0']",24979036.820000008,216
0_8028CC440,9,"['19022_80735A550', '7810_80CFAC550', '215272_83C6BFC30', '15240_8039EAAC0', '16809_8039E4320', '111554_8046CB750', '15594_8028CC3F0', '91751_823D862A0', '0_8028CC440']",708613.27,82
0_802FCE350,9,"['112140_806110D60', '11316_806583710', '29196_807AFAEF0', '7810_805C7BF10', '171731_839BCA300', '718_80346C440', '2125984_840A0B110', '244653_85136ACB0', '27512_802FF71F0']",667869.97,124
0_80022A6C0,8,"['11032_8017A85B0', '0_800787B90', '4011_8018BE510', '1818_8015435F0', '148975_813F4B180', '11848_800DD4BC0', '20_80022BC40', '0_80022A6C0']",1386922.6700000006,199
0_8003EAF90,8,"['19337_807210DD0', '11796_80400B770', '110968_804AFE740', '4744_803CE99E0', '544_800418990', '1922_8007E1FA0', '1503_801AC9A40', '0_8003EAF90']",1811441.8692000012,110
0_80047B730,8,"['4563_802799BA0', '212353_84520C8F0', '122953_83E124A00', '718_8005BA1E0', '1601_8017788F0', '24528_802856AB0', '282858_8400C3BF0', '0_80047B730']",5044975.339999995,137
0_800626D00,8,"['7098_80B3151F0', '13688_801AEEFF0', '14992_802043FB0', '13688_8027198D0', '2597_80065F830', '952_8006627B0', '15379_8087DB650', '0_800626D00']",119898.5999999999,179
0_8006610D0,8,"['20_800AEB3D0', '741_801DE3070', '14246_809160830', '160726_8178B2D20', '718_8014540E0', '2121590_830959D50', '25444_829F1CA60', '718_802D00970']",40241394.51999997,192
0_80080C840,8,"['126794_80C1598B0', '215784_806A599E0', '1106080_841EBE5D0', '3761_8021EA410', '249719_8185E1E00', '215784_80FAA6480', '24830_801E84E70', '0_80080C840']",738730.0699999991,112
0_800997E70,8,"['28868_80551B050', '111247_8091960A0', '26967_805BF62C0', '11032_8036BA140', '1831_800B18A30', '21418_8016AE340', '16645_80684A4C0', '0_800997E70']",267519.9699999996,251
0_8009CD310,8,"['11798_800F88A10', '12869_8014303A0', '3503_801A690D0', '28572_810597460', '210658_804219D70', '13729_801DC8B90', '15123_8053B18F0', '0_8009CD310']",276293.03400000004,158
0_800A49E90,8,"['1046_8012B49B0', '15123_810F526B0', '2115730_82E2E6E00', '12582_8012D1890', '125255_809D1F670', '2125653_83BAECC80', '140342_820549480', '0_800A49E90']",269915.74999999994,205
0_8017AA380,8,"['11194_81C2A7200', '8903_8037C00B0', '11798_80EB6B960', '88960_822224F50', '213639_805A17020', '11081_801690990', '211943_82D14E080', '0_8017AA380']",23632463.959999997,114
0_801828790,8,"['148175_8175418F0', '220845_80DC93830', '20_8028E4B60', '140160_8136A8B60', '18112_803176C10', '175641_82668C3E0', '28291_8040661A0', '0_801828790']",2484527.47,90
0_80230E780,8,"['15096_805B336C0', '10536_805F89410', '115290_8065D2A90', '164328_81C76B720', '7810_80845DE30', '235600_80D193BF0', '58008_83FDC6F60', '0_80230E780']",2123968.2635999997,105
0_802316850,8,"['66228_83C44DC00', '11260_80FC61AB0', '82745_82FCF5FB0', '233360_80CD82440', '1924_80242FB60', '10542_80A33F5D0', '741_803034E60', '0_802316850']",100985.56000000001,187
0_802FF0850,8,"['1180640_842AE7C90', '193032_84474D4F0', '257259_83E89B570', '16315_80C7AF380', '28781_8044F35F0', '15027_8178108D0', '2200169_84A7297F0', '0_802FF0850']",565955.0827999992,151
0_803156A60,8,"['5610_804B97F10', '28474_806C33290', '134966_831814BE0', '25444_8069EF1B0', '110968_81A2FF0F0', '30939_81587B740', '38633_80EE7A820', '0_803156A60']",4391814.190000011,233
0_800147B00,7,"['120496_807CE6910', '2310_80041A3B0', '1208_8003BB680', '20_800ADADF0', '2310_80018C890', '25961_803ECF2E0', '0_800147B00']",138324589.9900001,168
0_800361A90,7,"['134999_811D05170', '741_800CAFFA0', '1601_8003F61F0', '14246_811EAD910', '148194_843C3F230', '18170_8037FF370', '0_800361A90']",2861860.85,77
0_80049DFD0,7,"['0_800B91E30', '221260_80A3C73C0', '63074_82D7D5D60', '242826_85082CFD0', '110528_807A2C4C0', '741_800573540', '0_80049DFD0']",690373.4300000002,108
0_8004AF540,7,"['2310_800B22FD0', '2776_8009A3850', '29689_80697B3E0', '718_80051F670', '20_800B61DB0', '1924_8056575C0', '0_8004AF540']",23035811.520000007,90
0_80067BCC0,7,"['18822_803EF2830', '11798_801A29040', '20_802D31E50', '1488_801E99D00', '16315_802F14E10', '7720_802E576E0', '0_80067BCC0']",993047.5100000006,120
0_800BB1CD0,7,"['1831_800F4D890', '13729_8045029E0', '24842_80FD26EF0', '131458_80E288950', '11796_8014C98D0', '25935_82DFCCFF0', '25222_802AB9350']",9854725.379999995,161
0_800BED530,7,"['214_800F29110', '4548_8170055E0', '2171502_848846DD0', '11587_8272934F0', '211154_8058B1BB0', '25644_8028AF730', '0_800BED530']",201490.89999999988,118
0_8014D0110,7,"['7030_8041F4740', '211052_804FC0750', '18252_804457D60', '245447_8131008E0', '2954_801850F70', '1924_8015A39E0', '0_8014D0110']",228273.3400000001,127
0_8015C5080,7,"['2128762_83940AF60', '4687_809EA7B70', '8456_8036E1630', '544_801669CF0', '242795_813AB0CA0', '61776_83DF853F0', '0_8015C5080']",362197.15,95
0_8016E5250,7,"['21418_801A4E7C0', '24816_809836F20', '146906_83849EFC0', '35678_810095320', '234305_810E16300', '241036_811D03990', '0_8016E5250']",2414145.6804000004,165
0_801C6BEA0,7,"['254115_833A24150', '15240_80961BCF0', '94155_84D358F70', '12582_801C6BEF0', '240369_82E8DC2B0', '544_801C6BA60', '0_801C6BEA0']",981070.8799999999,85
0_801CD99C0,7,"['16327_806CDBD20', '8904_8249BA140', '113528_8094D2CB0', '139890_82B543120', '237553_81BD46DB0', '237081_813A13D10', '0_801CD99C0']",400014.61000000004,89
0_801F55DE0,7,"['218478_80B800830', '54922_84D6E0040', '111247_821489060', '228064_8333B56F0', '117283_818179F60', '28348_80B8F7580', '0_801F55DE0']",1227878.06,124
0_802140790,7,"['212490_804B6ADD0', '15325_802CE9320', '240913_81A5CA950', '21418_8022FE320', '4563_806382A40', '7818_814CFCAD0', '0_802140790']",102211.14000000001,161
0_8025E44A0,7,"['140205_816FF4D70', '129528_810803090', '11796_80434F350', '231572_80D80FA60', '214684_8124D5A90', '1121765_8329DB5C0', '0_8025E44A0']",353951480.4600001,83
0_8026854D0,7,"['158656_83C0532A0', '212191_812A154A0', '9888_80DBC7250', '118669_80E35CBF0', '265520_84454E9E0', '2114678_833D49E00', '0_8026854D0']",306630.1759999995,219
0_802729180,7,"['18822_805371910', '215945_843AECDF0', '235792_80D5871A0', '183697_84B6DF1C0', '223529_81A183CB0', '215305_80CD64BB0', '0_802729180']",1266749.48,93
0_8029437F0,7,"['4214_807BC8CB0', '170821_83C966CC0', '175662_85074AC90', '6109_802E806F0', '20_802D2CB40', '24528_802943700', '0_8029437F0']",2565878.960000002,69
0_8001D5830,6,"['113957_8134E6A60', '1208_8086D4CF0', '1208_8001407D0', '20_8003E2C80', '11081_800787220', '0_8001D5830']",4941264.489999996,111
0_8001E7420,6,"['20_801F00480', '25222_8050054E0', '2310_8003646A0', '20_8003532A0', '1145030_83ADE82F0', '0_8001E7420']",3728927.4399999985,146
0_8003C36A0,6,"['103717_8336C4F30', '24750_809175890', '2464_800555DE0', '1601_801447E50', '0_8003C3AB0', '0_8003C36A0']",39485.08920000005,135
0_8003CD830,6,"['2310_8015A2BB0', '11032_8014C7F00', '16315_803874CF0', '214_8005DAB70', '5610_8022C96D0', '0_8003CD830']",315957373.71000004,125
0_80048D0D0,6,"['13843_8019A4820', '28219_804A80640', '14027_8035B6A70', '24528_8024D5BB0', '20_80048D120', '0_80048D0D0']",78889.37000000002,124
0_800574C10,6,"['25642_813C57260', '4011_82509F980', '718_80095FA60', '11_800574CB0', '1102747_829A58840', '0_800574C10']",80105.22999999997,102
0_8005EC370,6,"['25644_8057CC830', '208841_85163CA90', '12696_8012FA0A0', '0_800F69C70', '19596_807C39600', '0_8005EC370']",106017.54999999999,133
0_800AA1120,6,"['219086_808EE7C60', '2147659_83DFD3770', '122658_838BFC5F0', '1488_808B43D80', '151469_813E93B70', '0_800AA1120']",2278094.8052430004,91
0_800D20820,6,"['115036_807DA6A70', '151862_81699FC80', '110478_804189D20', '113003_805596D30', '4548_801D179B0', '0_800D20820']",851400.6399999993,87
0_800E76D10,6,"['212353_804BC58C0', '4011_802E95980', '15123_804ACAD90', '225406_80F3CD170', '2597_800E780D0', '0_800E76D10']",1644170.58,61
0_800EA93C0,6,"['214957_809543210', '8381_807F05120', '28313_803D1ED80', '11081_8021A23D0', '1831_800EA9410', '0_800EA93C0']",713490.5199999999,96
0_80103E3A0,6,"['1131456_83F8CAD50', '25935_8027A27C0', '15240_802196E60', '25932_8039FD6E0', '1104322_828CF4030', '0_80103E3A0']",2222610.080000001,180
0_80147E070,6,"['4548_801BB31A0', '2177413_84C39F680', '24830_80B905350', '11848_802B1B9D0', '4548_802356740', '0_80147E070']",298507915.7599999,145
0_8015C8990,6,"['1924_801AE2290', '4214_801B65A60', '11032_800CFD4A0', '14993_8161BBC30', '24555_801E708F0', '0_8015C8990']",387011.80000000005,76
0_801810690,6,"['1488_801CE1E10', '15327_805AE9C60', '110200_803FF14B0', '1488_801B424B0', '20_801AA4B30', '0_801810690']",436806.16,73
0_801818D70,6,"['48786_82899FF80', '287977_831891CB0', '17569_81EBB2AC0', '228064_80D891E40', '19022_807E5D500', '0_801818D70']",256214.34,73
0_801A3DB80,6,"['15398_8174F26E0', '11796_802F98780', '24583_80229C720', '14246_807B39AE0', '56386_81513B620', '0_801A3DB80']",758253.4099999997,64
0_801C088A0,6,"['211755_8053CFBD0', '14031_803536970', '27934_80505A260', '3761_802428F90', '120797_80BE7BC20', '0_801C088A0']",714031.78,50
0_801C21C00,6,"['55002_817AFE980', '215233_816475580', '270844_82F6EA530', '2954_8033A3360', '2148670_83790DC10', '0_801C21C00']",2200028.160000001,112
0_801C7A290,6,"['116837_83C6C2020', '211052_80BA5A3E0', '10409_804044FB0', '111794_829C752C0', '210600_830702DE0', '0_801C7A290']",175594118.01,93
0_8021F7E60,6,"['214285_808AE6CB0', '1818_80C15F4A0', '22728_8028D7B30', '25604_8021F8450', '76966_81C879650', '0_8021F7E60']",1330425.9556,62
0_802C43320,6,"['2123490_837619410', '151474_814191140', '7818_804B97B50', '11304_803897390', '28291_804D99350', '0_802C43320']",131532.00999999986,103
0_8037B0860,6,"['244653_81F323A80', '6138_8050260A0', '211721_80D97ECA0', '210_8000BA820', '15327_8037B0770', '0_8037B0860']",161199.37750000003,106
0_8002FFE40,5,"['2310_8003AA5C0', '2127524_8312462D0', '213639_814470680', '214_8002FFB20', '0_8002FFE40']",366627.67999999976,52
0_8003663A0,5,"['8713_808717C40', '283965_82B3E2710', '1601_800365B50', '0_800366210', '0_8003663A0']",135015.87279999995,89
0_800381730,5,"['1922_801734090', '1831_800642480', '1818_800C7E480', '3761_80238AE90', '0_800381730']",64610544.410000004,151
0_800403CD0,5,"['544_8003FB8E0', '0_800403CD0', '23435_80142C6B0', '20_8003FB660', '11_8003FB980']",46741.04,7
0_8004046F0,5,"['0_8004046F0', '544_8003FB8E0', '20_8003FB660', '11_8003FB980', '12_800149780']",26795.0152,6
0_80048A8F0,5,"['166299_83AA82C90', '1818_80056E250', '0_80048BB00', '25932_8026F60F0', '0_80048BA10']",60444.23999999998,57
0_8004CA080,5,"['29196_804160620', '115290_80AAA2520', '867_800551DD0', '2310_8004CA0D0', '0_8004CA080']",1058688.989999999,60
0_80072DB30,5,"['1818_800808050', '18112_8105361D0', '2310_800EAF120', '135395_83DAA2B40', '0_80072DB30']",279412.72,51
0_8007691F0,5,"['8904_803D46A50', '0_8007691F0', '11_80039D740', '13347_81FC506A0', '250403_812911F10']",3819876.1537329997,11
0_800B2D570,5,"['2954_800B80890', '11342_822B5E2E0', '5610_8021CC450', '11848_8010520B0', '0_800B2D570']",7573525.309999996,117
0_800C88190,5,"['4011_803B9B4A0', '214_803B35220', '5665_8024AA9F0', '125357_84D909520', '21418_85051E090']",250776.20999999973,64
0_800EA6C20,5,"['25935_80253D3B0', '218827_8083BB8B0', '25580_802E8A650', '25935_81ADE7B60', '0_800EA6C20']",346479.4999999999,77
0_80146D250,5,"['14031_802146F60', '125344_818803840', '120496_8259DFB60', '11304_80146DB00', '0_80146D250']",3512496.049999999,57
0_80154D2F0,5,"['22693_8092035D0', '15019_806E83570', '15327_80E7CE440', '61294_81DFA6140', '0_80154D2F0']",406326.3700000001,106
0_8018CFDF0,5,"['1601_807557F70', '8285_803D20250', '16327_802C70110', '20_8018C8290', '0_8018CFDF0']",29278167.680000026,52
0_801BA8680,5,"['11796_80230FC20', '214285_80E62DE80', '24833_805688900', '57107_83FB7E980', '0_801BA8680']",6264935.4399999995,66
0_801E554E0,5,"['0_801E554E0', '24833_801E55A20', '16030_808775080', '122489_80A4AA160', '210105_820CA7330']",369531199.3516,6
0_8029FE2B0,5,"['262900_8252585E0', '20_8042ECF80', '25642_81B1E9530', '221260_809631C10', '0_8029FE2B0']",116679.29000000001,60
0_802D84CB0,5,"['269178_822EB4210', '25333_816272130', '24583_8040AEE40', '158306_844F63E20', '0_802D84CB0']",61145.35000000006,83
0_803020330,5,"['15019_808E4BDE0', '24816_835DFE660', '26967_803020290', '1315_803020DF0', '0_803020330']",693291.1800000007,40
0_8031F1ED0,5,"['155306_82B650A70', '133473_81AD47790', '115081_83BD4B220', '8882_818124C30', '0_8031F1ED0']",751471.35,91
0_8036479A0,5,"['222107_83E442270', '4744_803775680', '7098_8112D89F0', '24528_80539FE30', '0_8036479A0']",26888688.049999986,108
